Org Key,Event Key,Event Title,Topline,Headliner,Openers,Date(s),Time(s),Price/Admission,Age Restriction,Event Description,Staff/Artists,Category,Venue,Venue Info,Street Name,Address Line 2,City,State,Postal Code,Event Image URL,Location Link,Get Tickets,URL
1,2,Serenade | Star Crossed | World Premiere by Tim O’Keefe,Three Iconic Pieces. One Incredible Night.,,,"Feb 05 - Feb 14, 2021",,,,"Explore the bold expression of human emotion through three distinct ballets. From poetic dreamscapes to dynamic blends of modern classicism, this unique experience is one you won’t want to miss.

Serenade

Serenade is a Balanchine classic, which originated as a master class in stage technique. Typified by its monochromatic blue hue, this ballet culminates in four movements to Tchaikovsky’s Serenade for Strings in C, Op. 48. Witness a truly timeless piece.

Star Crossed

In a world premiere by Artistic Director Ben Stevenson, O.B.E., Star Crossed is a passionate pas de deux of the famous lovers, Romeo and Juliet. With simple scenery and costume, Star Crossed focuses on the exquisite movement of this dramatic piece.

World Premiere by Tim O'Keefe

Featuring never-before-seen choreography from acclaimed Associate Artistic Director Tim O’Keefe. This world premiere piece is sure to delight audiences. Set to the music of one of ballet’s best composers, this new work will excite and enlighten.

","Serenade Choreographer                                                                            George Balanchine

Star Crossed Choreographer                                                                            Ben Stevenson, O.B.E.

World Premiere Choreographer                                                                            Tim O'Keefe

Serenade Composer                                                                            Pyotr Ilyich Tchaikovsky

Star Crossed Composer                                                                            Pyotr Ilyich Tchaikovsky

World Premiere Composer                                                                            Pyotr Ilyich Tchaikovsky

","Live Performance, Music, Dance, Ballet, Fine Arts, Sit Down",Performing at Winspear Opera House and Bass Performance Hall,Performance Hall,,",",,,,https://texasballettheater.org/wp-content/uploads/2020/05/serenade-header-1.jpg,,,https://texasballettheater.org/perfomance/serenade-star-crossed-world-premiere-by-tim-okeefe/
1,1,The Nutty Nutcracker,Tradition is Even Better With a Twist,,,"Dec 14 & Dec 26, 2020",,,,"Based on the classic holiday ballet, this quirky version is packed with wonder, delight, and a little sarcasm too. Texas Ballet Theater’s The Nutty Nutcracker is available online for the first time ever, and when you purchase a ticket, you’ll also receive access to The Nutcracker. This light, bright comedy will leave you filled with holiday cheer. Recommended for ages 13 and up.

","Choreographer                                                                            Artists of Texas Ballet Theater

Run Time                                                                            2 Hours

","Live Performance, Music, Dance, Ballet, Fine Arts, Sit Down",Tickets will be available for purchase soon. Please stay tuned for more information.,Performance Hall,,",",,,,https://texasballettheater.org/wp-content/uploads/2020/05/nutty-hero-image.jpg,,,https://texasballettheater.org/perfomance/the-nutty-nutcracker/
2,4,Meredith Willson’s The Music Man,"Book, Music and Lyrics by Meredith Willson
Based on a story by Meredith Willson and Franklin Lacey
Directed by Joel Ferrell with Musical Direction by Vonda Bowling",,,,Run Dates: (4/8/2021-5/2/2021),,,"One of the most cherished American classics, The Music Man, merrily marches onto the T3 stage! Called “one of the sunniest musicals ever” by the New York Times, this family-friendly story should be joyfully shared with every generation. This is a timeless story of the fast-talking salesman, Harold Hill, who cons the good folks of River City, Iowa, into believing that he can teach their children to play in a marching band. Before the fraudulent teacher can skip town with the loot, Harold’s got trouble when he falls for the quick-witted, not to mention beautiful, small town librarian, Marian. A slice of Americana you won’t want to miss!",,"Virtual, Performance, Music, Dance, Ballet, Fine Arts, Sit Down",,,,",",,,,https://www.theatre3dallas.com/wp-content/uploads/2020/06/Music-Man-Poster_website-image-v2-480x711.jpg,,,https://www.theatre3dallas.com/shows-tickets/
2,6,NA,,,,,,,,Event data TBD,,"Virtual, Performance, Music, Dance, Ballet, Fine Arts, Sit Down",,,,",",,,,https://www.theatre3dallas.com/wp-content/uploads/2020/11/Murder-on-Polar-Bear-Express-poster-TENTATIVE-480x711.png,,,https://www.theatre3dallas.com/shows-tickets/
2,5,The Bippy Boppy Boo Show,,,,,"Friday, October 23 at 10:00 PM
Saturday, October 24 at 10:00 PM
Thursday, October 29 at 9:30 PM
Friday, October 30 at 10:00 PM
Saturday, October 31 at 10:00 PM
Tuesday, November 3 at 7:30 PM",,,"A Co-Production with Danielle Georgiou Dance Group
Written and directed by Danielle Georgiou
The ghosts of Theatre Three are back!! Coming this October, spend an evening, or 6, with a new live show each night! Commemorating the scariest year ever, THE BIPPY BOBBY BOO: 2020 CALL-IN SPECIAL will be full of glitz, gags, and glamorous ghosts! After spending a glorious run with live audiences, the ghosts have become stir-crazy in the theatre without a show going on! Instead of waiting for audiences to return in person, the ghosts will be haunting the internet with this live-streamed interactive event! Do you have a joke for Bippy Bobby? Join the tradition and call in with your favorite Halloween humor! Want to give Bippy a piece of your mind? Ring the Halloween hotline and howl! Get your tickets for this wild internet extravaganza and come join in the fun!",,"Virtual, Performance, Music, Dance, Ballet, Fine Arts, Sit Down",,,,",",,,,https://www.theatre3dallas.com/wp-content/uploads/2020/09/Bippy-Bobby-T3TV-v3-1-480x712.png,,,https://www.theatre3dallas.com/shows-tickets/
2,0,It Came From THeatre Three,"By Jonathan Norton, Blake Hackler, Nicole Neely and The Drama Club
Directed by Christie Vela and Jeffrey Schmidt",,,,"Monday, October 19 at 7:30 PM
Thursday, October 22 at 7:30 PM
Friday, October 23 at 8:00 PM
Saturday, October 24 at 8:00 PM
Sunday, October 25 at 2:30 PM
Wednesday, October 28 at 2:00 PM
Thursday, October 29 at 7:30 PM
Friday, October 30 at 8:00 PM
Saturday, October 31 at 2:30 PM
Saturday, October 31 at 8:00 PM
Sunday, November 1 at 2:30 PM ",,,"Something spine-chilling this way comes… in the form of a new virtual offering from Theatre Three. Four local playwrights; Jonathan Norton, Blake Hackler, Nicole Neely and The Drama Club to contribute short, frightening pieces to be produced virtually in one jam-packed program with two very distinguished hosts to keep things moving along.
It Came From Theatre Three will be performed and designed to work within the necessary current social distancing restrictions. Streaming access codes are only $15.",,"Virtual, Performance, Music, Dance, Ballet, Fine Arts, Sit Down",,,,",",,,,https://www.theatre3dallas.com/wp-content/uploads/2020/08/It-Came-from-T3-1-480x710.png,,,https://www.theatre3dallas.com/shows-tickets/
2,1,NA,,,,,,,,Event data TBD,,"Virtual, Performance, Music, Dance, Ballet, Fine Arts, Sit Down",,,,",",,,,https://www.theatre3dallas.com/wp-content/uploads/2020/11/Murder-on-Orient-Express-Poster-TENTATIVE-480x713.png,,,https://www.theatre3dallas.com/shows-tickets/
2,2,Oo-Bla-Dee,"Written and Directed by Regina Taylor, Musical Direction by (TBD)",,,,"Run Dates: February 11- March 14, 2021",,,"As one of Dallas’ most accomplished theatrical exports, Regina Taylor is known for her luscious, ripe language and exhilarating poetry. With a background beat of be-bop, she combines realism with lilting lyricism to tell the tale of Gin Del Sol, a young saxophone player who joins an all-black, female jazz quartet. Set in the post-war era, Taylor’s tribute to the ladies of jazz chronicles the struggles of musicians trying to make sweet music over the intrusive societal noise of pervasive sexism and racism. Powerful! Eclectic! A Jazz Lover’s Experience!",,"Virtual, Performance, Music, Dance, Ballet, Fine Arts, Sit Down",,,,",",,,,https://www.theatre3dallas.com/wp-content/uploads/2020/11/Oo-Bla-Dee-Poster-TENTATIVE-480x715.png,,,https://www.theatre3dallas.com/shows-tickets/
2,3,NA,,,,,,,,Event data TBD,,"Virtual, Performance, Music, Dance, Ballet, Fine Arts, Sit Down",,,,",",,,,https://www.theatre3dallas.com/wp-content/uploads/2020/11/Whos-Afraid-of-VW-poster-TENTATIVE-480x714.png,,,https://www.theatre3dallas.com/shows-tickets/
3,0,The Workshop,,,,,,,,Every other Monday the Latino Cultural Center will lead an online craft workshop. Please visit our page for updated information on dates and supplies needed.,,,Latino Cultural Center,,,",",,,,http://artandseek.org/calendar/images/events/105371.1.jpg?v=1601912826,,,http://artandseek.org/calendar/event/105371/the-workshop
